UA, ELP, IAH, 20200314, 0, 0, 122, 118
UA, ELP, IAH, 20200315, 0, 0, 122, 114
UA, ELP, IAH, 20200316, 0, 0, 122, 107
UA, ELP, IAH, 20200317, 0, 0, 122, 112
UA, ELP, IAH, 20200318, 0, 0, 122, 107
UA, ELP, IAH, 20200319, 0, 0, 122, 111
UA, ELP, IAH, 20200320, 0, 0, 122, 113
UA, ELP, IAH, 20200321, 0, 0, 122, 107
UA, ELP, IAH, 20200322, 0, 0, 122, 119
UA, ELP, IAH, 20200323, 0, 0, 122, 0
UA, ELP, IAH, 20200324, 0, 0, 122, 0
UA, ELP, IAH, 20200325, 0, 0, 122, 0
UA, ELP, IAH, 20200326, 0, 0, 122, 106
UA, ELP, IAH, 20200327, 0, 0, 122, 0
UA, ELP, IAH, 20200328, 0, 0, 122, 112
F9, ELP, DEN, 20200301, 0, 0, 115, 98
F9, ELP, DEN, 20200305, 0, 0, 115, 110
F9, ELP, DEN, 20200308, 0, 0, 115, 109
F9, ELP, DEN, 20200310, 0, 0, 115, 103
F9, ELP, DEN, 20200312, 0, 0, 115, 108
F9, ELP, DEN, 20200315, 0, 0, 115, 107
F9, ELP, DEN, 20200317, 0, 0, 115, 95
F9, ELP, DEN, 20200319, 0, 0, 115, 0
F9, ELP, DEN, 20200322, 0, 0, 115, 102
F9, ELP, DEN, 20200324, 0, 0, 115, 96
F9, ELP, DEN, 20200326, 0, 0, 115, 0
F9, ELP, DEN, 20200329, 0, 0, 115, 0
F9, ELP, DEN, 20200331, 0, 0, 115, 0
G4, ELP, LAS, 20200323, 0, 0, 104, 0
G4, ELP, LAS, 20200320, 0, 0, 104, 0
G4, ELP, LAS, 20200316, 0, 0, 104, 102
G4, ELP, LAS, 20200313, 0, 0, 104, 108
G4, ELP, LAS, 20200309, 0, 0, 104, 111
G4, ELP, LAS, 20200327, 0, 0, 104, 0
G4, ELP, LAS, 20200330, 0, 0, 104, 0
G4, ELP, LAS, 20200302, 0, 0, 104, 102
G4, ELP, LAS, 20200306, 0, 0, 104, 93
UA, ELP, ORD, 20200303, 0, 0, 180, 165
UA, ELP, ORD, 20200303, 0, 0, 180, 160
